College ID,Title,Territory,Vizag / Vijayawada,College Code,Country,Zone Id,State,State Code,Region Id,College Category,Reg College ID
669f5b6065c25cabe105781d,"A J Institute of Medical Sciences & Research Centre, Mangalore",,,,IN,,Karnataka,KA,,ug,669f5b6065c25cabe105781d
669f5b6165c25cabe105781e,"Aarupadai Veedu Medical College, Pondicherry",,,,IN,,Pondicherry,PY,,ug,669f5b6165c25cabe105781e
669f5b6265c25cabe105781f,"Acharya Shri Chander College of Medical Sciences, Jammu",,,,IN,,Jammu and Kashmir,JK,,ug,669f5b6265c25cabe105781f
669f5b6365c25cabe1057820,"ACPM Medical College, Dhule",,,,IN,,Maharashtra,MH,,ug,669f5b6365c25cabe1057820
669f5b6365c25cabe1057821,"ACS Medical College and Hospital, Chennai",,,,IN,,Tamil Nadu,TN,,ug,669f5b6365c25cabe1057821
669f5b6465c25cabe1057822,ACSR Government Medical College Nellore,,,,IN,,Andhra Pradesh,AP,,ug,669f5b6465c25cabe1057822
669f5b6565c25cabe1057823,"Adesh Institute of Medical Sciences & Research, Bhatinda",,,,IN,,Punjab,PB,,ug,669f5b6565c25cabe1057823
669f5b6565c25cabe1057824,"Adesh Medical College and Hospital, Shahabad, Kurukshetra, Haryana",,,,IN,,Haryana,HR,,ug,669f5b6565c25cabe1057824
669f5b6665c25cabe1057825,Adichunchanagiri Institute of Medical Sciences Bellur,,,,IN,,Karnataka,KA,,ug,669f5b6665c25cabe1057825
669f5b6765c25cabe1057826,"Agartala Government Medical College,Agartala",,,,IN,,Tripura,TR,,ug,669f5b6765c25cabe1057826
669f5b6765c25cabe1057827,"Ahmedabad Municipal Coporation Medical Education Trust Medical College, Ahmedabad",,,,IN,,Gujarat,GJ,,ug,669f5b6765c25cabe1057827
669f5b6865c25cabe1057828,"Akash Institute of Medical Sciences & Research Centre, Devanhalli, Bangalore, Karnataka",,,,IN,,Karnataka,KA,,ug,669f5b6865c25cabe1057828
669f5b6965c25cabe1057829,"Al Falah School of Medical Sciences & Research Centre, Faridabad",,,,IN,,Haryana,HR,,ug,669f5b6965c25cabe1057829
669f5b6965c25cabe105782a,"Al-Ameen Medical College,Bijapur",,,,IN,,Karnataka,KA,,ug,669f5b6965c25cabe105782a
669f5b6a65c25cabe105782b,"Al-Azhar Medical College and Super Speciality Hospital, Thodupuzha",,,,IN,,Kerala,KL,,ug,669f5b6a65c25cabe105782b
669f5b6b65c25cabe105782c,"All India Institute of Medical Sciences, Bhatinda",,,,IN,,Punjab,PB,,ug,669f5b6b65c25cabe105782c
669f5b6e65c25cabe105782d,"All India Institute of Medical Sciences, Bhopal",,,,IN,,Madhya Pradesh,MP,,ug,669f5b6e65c25cabe105782d
669f5b6f65c25cabe105782e,"All India Institute of Medical Sciences, Bhubaneswar",,,,IN,,Odisha,OD,,ug,669f5b6f65c25cabe105782e
669f5b7065c25cabe105782f,"All India Institute of Medical Sciences, Bibinagar",,,,IN,,Telangana,TS,,ug,669f5b7065c25cabe105782f
669f5b7165c25cabe1057830,"All India Institute of Medical Sciences, Bilaspur",,,,IN,,Himachal Pradesh,HP,,ug,669f5b7165c25cabe1057830
669f5b7265c25cabe1057831,"All India Institute of Medical Sciences, Deoghar",,,,IN,,Jharkhand,JH,,ug,669f5b7265c25cabe1057831
669f5b7265c25cabe1057832,"All India Institute of Medical Sciences, Gorakhpur",,,,IN,,Uttar Pradesh,UP,,ug,669f5b7265c25cabe1057832
669f5b7365c25cabe1057833,"All India Institute of Medical Sciences, Guwahati",,,,IN,,Assam,AS,,ug,669f5b7365c25cabe1057833
669f5b7365c25cabe1057834,"All India Institute of Medical Sciences, Jodhpur",,,,IN,,Rajasthan,RJ,,ug,669f5b7365c25cabe1057834
669f5b7465c25cabe1057835,"All India Institute of Medical Sciences, Kalyani, Nadia",,,,IN,,West Bengal,WB,,ug,669f5b7465c25cabe1057835
669f5b7465c25cabe1057836,"All India Institute of Medical Sciences, Madurai",,,,IN,,Tamil Nadu,TN,,ug,669f5b7465c25cabe1057836
669f5b7565c25cabe1057837,"All India Institute of Medical Sciences, Mangalagiri, Vijayawada",Indra,Y,,IN,,Andhra Pradesh,AP,,ug,669f5b7565c25cabe1057837
669f5b7565c25cabe1057838,"All India Institute of Medical Sciences, Nagpur",,,,IN,,Maharashtra,MH,,ug,669f5b7565c25cabe1057838
669f5b7665c25cabe1057839,"All India Institute of Medical Sciences, New Delhi",,,,IN,,Delhi,DL,,ug,669f5b7665c25cabe1057839
669f5b877004b579f4304d85,"All India Institute of Medical Sciences, Patna",,,,IN,,Bihar,BR,,ug,669f5b877004b579f4304d85
669f5b877004b579f4304d86,"All India Institute of Medical Sciences, Rae Bareli",,,,IN,,Uttar Pradesh,UP,,ug,669f5b877004b579f4304d86
669f5b877004b579f4304d87,"All India Institute of Medical Sciences, Raipur",,,,IN,,Chattisgarh,CG,,ug,669f5b877004b579f4304d87
669f5b877004b579f4304d88,"All India Institute of Medical Sciences, Rajkot",,,,IN,,Gujarat,GJ,,ug,669f5b877004b579f4304d88
669f5b877004b579f4304d89,"All India Institute of Medical Sciences, Rishikesh",,,,IN,,Uttarakhand,UK,,ug,669f5b877004b579f4304d89
669f5b877004b579f4304d8a,"All India Institute of Medical Sciences, Vijaypur",,,,IN,,Jammu and Kashmir,JK,,ug,669f5b877004b579f4304d8a
669f5b877004b579f4304d8b,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Surendra,Y,,IN,,Andhra Pradesh,AP,,ug,669f5b877004b579f4304d8b
669f5b877004b579f4304d8c,"Amala Institute of Medical Sciences, Thrissur",,,,IN,,Kerala,KL,,ug,669f5b877004b579f4304d8c
669f5b877004b579f4304d8d,"Amaltas Institute of Medical Sciences, Dewas",,,,IN,,Madhya Pradesh,MP,,ug,669f5b877004b579f4304d8d
669f5b877004b579f4304d8e,"American International Institute of Medical Sciences, Bedwas",,,,IN,,Rajasthan,RJ,,ug,669f5b877004b579f4304d8e
669f5b877004b579f4304d8f,"Amrita School of Medicine, Elamkara, Kochi",,,,IN,,Kerala,KL,,ug,669f5b877004b579f4304d8f
669f5b877004b579f4304d90,"Ananta Institute of Medical Sciences & Research Centre, Rajsamand",,,,IN,,Rajasthan,RJ,,ug,669f5b877004b579f4304d90
669f5b877004b579f4304d91,"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair",,,,IN,,Andaman & Nicobar Islands,AN,,ug,669f5b877004b579f4304d91
669f5b877004b579f4304d92,"Andhra Medical College, Visakhapatnam",Surendra,Y,,IN,,Andhra Pradesh,AP,,ug,669f5b877004b579f4304d92
669f5b877004b579f4304d93,"Annapoorna Medical College & Hospital, Salem",,,,IN,,Tamil Nadu,TN,,ug,669f5b877004b579f4304d93
669f5b877004b579f4304d94,"Anugrah Narayan Magadh Medical College, Gaya",,,,IN,,Bihar,BR,,ug,669f5b877004b579f4304d94
669f5b877004b579f4304d95,"Apollo Institute of Medical Sciences and Research, Chittoor",,,,IN,,Andhra Pradesh,AP,,ug,669f5b877004b579f4304d95
669f5b877004b579f4304d96,"Apollo Institute of Medical Sciences and Research, Hyderabad",,,,IN,,Telangana,TS,,ug,669f5b877004b579f4304d96
669f5b877004b579f4304d97,"Armed Forces Medical College, Pune",,,,IN,,Maharashtra,MH,,ug,669f5b877004b579f4304d97
669f5b877004b579f4304d98,"Army College of Medical Sciences, New Delhi",,,,IN,,Delhi,DL,,ug,669f5b877004b579f4304d98
669f5b877004b579f4304d99,Arunai Medical College And Hospital,,,,IN,,Tamil Nadu,TN,,ug,669f5b877004b579f4304d99
669f5b877004b579f4304d9a,"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",,,,IN,,Maharashtra,MH,,ug,669f5b877004b579f4304d9a
669f5b877004b579f4304d9b,"Assam Medial College, Dibrugarh",,,,IN,,Assam,AS,,ug,669f5b877004b579f4304d9b
669f5b877004b579f4304d9c,Autonomous State Medical College Pratapgarh,,,,IN,,Uttar Pradesh,UP,,ug,669f5b877004b579f4304d9c
669f5b877004b579f4304d9d,Autonomous State Medical College Society Ghazipur,,,,IN,,Uttar Pradesh,UP,,ug,669f5b877004b579f4304d9d
669f5b877004b579f4304d9e,"Autonomous State Medical College Society, Etah, Uttar Pradesh",,,,IN,,Uttar Pradesh,UP,,ug,669f5b877004b579f4304d9e
669f5b877004b579f4304d9f,"Autonomous State Medical College Society, Fatehpur",,,,IN,,Uttar Pradesh,UP,,ug,669f5b877004b579f4304d9f
669f5b877004b579f4304da0,"Autonomous State Medical College Society, Hardoi",,,,IN,,Uttar Pradesh,UP,,ug,669f5b877004b579f4304da0
669f5b877004b579f4304da1,Maharaja Suheldev Autonomous State Medical College and Maharishi Balark Hospital,,,,IN,,Uttar Pradesh,UP,,ug,669f5b877004b579f4304da1
669f5b877004b579f4304da2,"Autonomous State Medical College, Siddharthnagar",,,,IN,,Uttar Pradesh,UP,,ug,669f5b877004b579f4304da2
669f5b877004b579f4304da3,Autonomous State Society Medical College Mirzapur,,,,IN,,Uttar Pradesh,UP,,ug,669f5b877004b579f4304da3
669f5b877004b579f4304da4,"Ayaan Institute of medical sciences, Teaching Hospital & Research Centre, Kanaka Mamidi, R. R. dist",,,,IN,,Telangana,TS,,ug,669f5b877004b579f4304da4
669f5b877004b579f4304da5,"Azeezia Instt of Medical Science,Meeyannoor,Kollam",,,,IN,,Kerala,KL,,ug,669f5b877004b579f4304da5
669f5b877004b579f4304da6,"B J Medical College, Ahmedabad",,,,IN,,Gujarat,GJ,,ug,669f5b877004b579f4304da6
669f5b877004b579f4304da7,"B. J. Govt. Medical College, Pune",,,,IN,,Maharashtra,MH,,ug,669f5b877004b579f4304da7
669f5b877004b579f4304da8,"B.K.L. Walawalkar Rural Medical College, Ratnagiri",,,,IN,,Maharashtra,MH,,ug,669f5b877004b579f4304da8
669f5b877004b579f4304da9,"Banas Medical College and Research Institute, Palanpur, Gujarat",,,,IN,,Gujarat,GJ,,ug,669f5b877004b579f4304da9
669f5b887004b579f4304daa,"Bangalore Medical College and Research Institute, Bangalore",,,,IN,,Karnataka,KA,,ug,669f5b887004b579f4304daa
669f5b887004b579f4304dab,"Bankura Sammilani Medical College, Bankura",,,,IN,,West Bengal,WB,,ug,669f5b887004b579f4304dab
669f5b887004b579f4304dac,Barasat Government Medical College and Hospital,,,,IN,,West Bengal,WB,,ug,669f5b887004b579f4304dac
669f5b887004b579f4304dad,"Basaveswara Medical College and Hospital, Chitradurga",,,,IN,,Karnataka,KA,,ug,669f5b887004b579f4304dad
669f5b887004b579f4304dae,"Belagavi Institute of Medical Sciences, Belagavi/Belgaum",,,,IN,,Karnataka,KA,,ug,669f5b887004b579f4304dae
669f5b887004b579f4304daf,"Believers Church Medical College Hospital, Thiruvalla, Kerala",,,,IN,,Kerala,KL,,ug,669f5b887004b579f4304daf
669f5b887004b579f4304db0,"BGS Global Institute of Medical Sciences, Bangalore",,,,IN,,Karnataka,KA,,ug,669f5b887004b579f4304db0
669f5b887004b579f4304db1,Bhaarat Medical College & Hospital,,,,IN,,Tamil Nadu,TN,,ug,669f5b887004b579f4304db1
669f5b887004b579f4304db2,"Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli",,,,IN,,Maharashtra,MH,,ug,669f5b887004b579f4304db2
669f5b887004b579f4304db3,"Bharati Vidyapeeth University Medical College, Pune",,,,IN,,Maharashtra,MH,,ug,669f5b887004b579f4304db3
669f5b887004b579f4304db4,"Bharatratna Atal Bihari Vajpayee Medical College, Pune",,,,IN,,Maharashtra,MH,,ug,669f5b887004b579f4304db4
669f5b887004b579f4304db5,"Bhaskar Medical College, Yenkapally",,,,IN,,Telangana,TS,,ug,669f5b887004b579f4304db5
669f5b887004b579f4304db6,"Bidar Institute of Medical Sciences,Bidar",,,,IN,,Karnataka,KA,,ug,669f5b887004b579f4304db6
669f5b887004b579f4304db7,Shri Atal Bihari Vajpayee Medical College & Research Institute,,,,IN,,Karnataka,KA,,ug,669f5b887004b579f4304db7
669f5b887004b579f4304db8,"BPS Government Medical College for Women, Sonepat",,,,IN,,Haryana,HR,,ug,669f5b887004b579f4304db8
669f5b887004b579f4304db9,"BRD Medical College, Gorakhpur",,,,IN,,Uttar Pradesh,UP,,ug,669f5b887004b579f4304db9
669f5b887004b579f4304dba,"Bundelkhand Medical College, Sagar",,,,IN,,Madhya Pradesh,MP,,ug,669f5b887004b579f4304dba
669f5b887004b579f4304dbb,"Burdwan Medical College, Burdwan",,,,IN,,West Bengal,WB,,ug,669f5b887004b579f4304dbb
669f5b887004b579f4304dbc,"Calcutta National Medical College, Kolkata",,,,IN,,West Bengal,WB,,ug,669f5b887004b579f4304dbc
669f5b887004b579f4304dbd,"Career Instt. Of Medical Sciences & Hospital, Lucknow",,,,IN,,Uttar Pradesh,UP,,ug,669f5b887004b579f4304dbd
669f5b887004b579f4304dbe,"Chalmeda Anand Rao Insttitute Of Medical Sciences, Karimnagar",,,,IN,,Telangana,TS,,ug,669f5b887004b579f4304dbe
669f5b887004b579f4304dbf,"Chamrajanagar Institute of Medical Sciences, Karnataka",,,,IN,,Karnataka,KA,,ug,669f5b887004b579f4304dbf
669f5b887004b579f4304dc0,"Chandulal Chandrakar Memorial Medical College, Durg",,,,IN,,Chattisgarh,CG,,ug,669f5b887004b579f4304dc0
669f5b887004b579f4304dc1,"Chengalpattu Medical College, Chengalpattu",,,,IN,,Tamil Nadu,TN,,ug,669f5b887004b579f4304dc1
669f5b887004b579f4304dc2,"Chettinad Hospital & Research Institute, Kanchipuram",,,,IN,,Tamil Nadu,TN,,ug,669f5b887004b579f4304dc2
669f5b887004b579f4304dc3,"Chhattisgarh Institute of Medical Sciences, Bilaspur",,,,IN,,Chattisgarh,CG,,ug,669f5b887004b579f4304dc3
669f5b887004b579f4304dc4,Chikkaballapura Institute of Medical Sciences,,,,IN,,Karnataka,KA,,ug,669f5b887004b579f4304dc4
669f5b887004b579f4304dc5,"Chikkamagaluru Institute of Medical Sciences, Chikkamagaluru",,,,IN,,Karnataka,KA,,ug,669f5b887004b579f4304dc5
669f5b887004b579f4304dc6,"Chintpurni Medical College, Gurdaspur",,,,IN,,Punjab,PB,,ug,669f5b887004b579f4304dc6
669f5b887004b579f4304dc7,"Chirayu Medical College and Hospital, Bairagarh,Bhopal",,,,IN,,Madhya Pradesh,MP,,ug,669f5b887004b579f4304dc7
669f5b887004b579f4304dc8,"Christian Medical College, Ludhiana",,,,IN,,Punjab,PB,,ug,669f5b887004b579f4304dc8
669f5b887004b579f4304dc9,"Christian Medical College, Vellore",,,,IN,,Tamil Nadu,TN,,ug,669f5b887004b579f4304dc9
669f5b887004b579f4304dca,"Coimbatore Medical College, Coimbatore",,,,IN,,Tamil Nadu,TN,,ug,669f5b887004b579f4304dca
